Item_no,Description,BRANCH,QUANTITY_IN_PCS, UNIT_PRICE , AMOUNT ,MONTH
ITM04778,OSTEOCARE PLUS 84s,KAWANGWARE WHOLESALE,7,25.6,179.23,FEBRUARY
ITM05548,SEPTRIN 100ML,KAWANGWARE WHOLESALE,7,371,"2,597.00",FEBRUARY
ITM00129,ADOVAS SYP 100ML HERBAL,KAWANGWARE WHOLESALE,8,248.68,"1,989.40",FEBRUARY
ITM05315,RELESTAT EYE DROPS,KAWANGWARE WHOLESALE,8,"1,496.00","11,968.00",MAY
ITM09561,MOVICOL SACHET 10X13 81G.,KAWANGWARE WHOLESALE,8,96.36,770.91,JUNE
ITM09579,DERMAMIX B CREAM 20G,KAWANGWARE WHOLESALE,9,150,"1,350.00",MAY
ITM00285,AMLODIPINE(AMAX)10MG 30S,KAWANGWARE WHOLESALE,10,6,60,JANUARY
ITM03721,LICEOMA LOTION 60ML,KAWANGWARE WHOLESALE,10,268,"2,680.00",APRIL
ITM03397,IROVEL 150MG 30S,KAWANGWARE WHOLESALE,12,66.67,800,FEBRUARY
ITM03258,HYDRYLLIN SYP 120ML,KAWANGWARE WHOLESALE,13,171,"2,223.00",JUNE
ITM07671,JENTIN-MET 50/500MG 14`S,KAWANGWARE WHOLESALE,14,36.29,508,APRIL
ITM01147,CEFLOREX CAPS 400MG 5S,KAWANGWARE WHOLESALE,15,318,"4,770.00",JANUARY
ITM03542,KLENZIT C GEL 15GM,KAWANGWARE WHOLESALE,16,"1,026.00","16,416.00",JUNE
ITM03419,ITRACONAZOLE CAPS 4S (ITRANOX)100MG,KAWANGWARE WHOLESALE,20,90,"1,800.00",MAY
ITM02891,FUNGITER 250MG 10S,KAWANGWARE WHOLESALE,20,62,"1,240.00",MAY
ITM03090,GRAMOCEF O 200MG CAPS 10S,KAWANGWARE WHOLESALE,20,61.3,"1,226.08",JUNE
ITM03750,LIPITOR TABS 40MG 30s,KAWANGWARE WHOLESALE,20,128.7,"2,574.00",JULY
ITM06355,VOMIKIND 2MG/ML INJ. 4S,KAWANGWARE WHOLESALE,20,166.59,"3,331.74",APRIL
ITM08462,ADVANCIS EXTRA THROAT RELIEF LOZENGES 20`S,KAWANGWARE WHOLESALE,20,33.32,666.35,JUNE
ITM02936,GALVUSMET 50/1000MG 30S,KAWANGWARE WHOLESALE,23,120.3,"2,766.90",FEBRUARY
ITM03964,MEDROL 4MG 30S,KAWANGWARE WHOLESALE,30,25.33,760,MAY
ITM02468,ESOMEPRAZOLE(ES-OMECOS) 40MG 30S,KAWANGWARE WHOLESALE,30,12,360,JUNE
ITM03749,LIPITOR 20MG 30s,KAWANGWARE WHOLESALE,30,132.73,"3,982.00",MARCH
ITM06166,UNIORTHO 500MG TABS 10S,KAWANGWARE WHOLESALE,32,148,"4,736.00",JANUARY
ITM04067,METRONIDAZOLE  TABS 400MG (EFLARON) 500S,KAWANGWARE WHOLESALE,34,1.13,38.34,JANUARY
ITM02920,GABICA 100MG 35S,KAWANGWARE WHOLESALE,35,73.26,"2,564.00",MAY
ITM01274,CEREGARD FORTE TABS 10S,KAWANGWARE WHOLESALE,40,170,"6,800.00",MARCH
ITM05295,RASEC MR TABS 10S,KAWANGWARE WHOLESALE,50,66,"3,300.00",JUNE
ITM03398,IROVEL 300MG 30S,KAWANGWARE WHOLESALE,54,103.33,"5,580.00",FEBRUARY
ITM08189,FERTILION-F PLUS TABS 30`S,KAWANGWARE WHOLESALE,60,69.37,"4,162.11",FEBRUARY
ITM06406,XARELTO TABS 15MG 14s,KAWANGWARE WHOLESALE,70,139.29,"9,750.00",MAY
ITM06405,XARELTO TABS 10MG 10s,KAWANGWARE WHOLESALE,70,139.3,"9,751.00",JUNE
ITM09245,FLORASTAR SACHETS ADULT 10`S,KAWANGWARE WHOLESALE,70,63.56,"4,449.15",APRIL
ITM08842,GI KIT 7`S,KAWANGWARE WHOLESALE,77,425.57,"32,769.00",MAY
ITM05567,SEVEN SEAS ONE A DAY 60s,KAWANGWARE WHOLESALE,78,29.62,"2,310.10",MARCH
ITM01318,CETRIZINE RHIZIN TABS 100s,KAWANGWARE WHOLESALE,90,1.32,119.02,JANUARY
ITM02991,GINESOMEGA 30S,KAWANGWARE WHOLESALE,90,38.33,"3,450.00",JUNE
ITM01529,CLOPRESS 75MG 30S,KAWANGWARE WHOLESALE,99,57.67,"5,709.00",JUNE
ITM09244,FLORASTAR KIDS SACHETS 10`S,KAWANGWARE WHOLESALE,102,63.56,"6,483.05",APRIL
ITM05416,ROVISTA TABS 5MG 30S,KAWANGWARE WHOLESALE,115,32.2,"3,703.00",MARCH
ITM03330,IDEOS CHEWABLE TABS 30s,KAWANGWARE WHOLESALE,120,49.17,"5,900.00",APRIL
ITM04178,MONTANA 5MG 14S,KAWANGWARE WHOLESALE,154,56.93,"8,767.00",MAY
ITM05743,SUPRACAL TABS 30s,KAWANGWARE WHOLESALE,155,52.15,"8,083.46",MAY
ITM03737,LIPECOS 5MG 28s,KAWANGWARE WHOLESALE,168,27.71,"4,656.00",JANUARY
ITM00575,AVALIFE ADVANCE RESCUE CAPS 30S,KAWANGWARE WHOLESALE,240,47.2,"11,328.00",APRIL
ITM04199,MONTIGET 4MG  14s,KAWANGWARE WHOLESALE,294,35.51,"10,441.15",MAY
ITM05419,ROXICLOT 10 TABS 30S,KAWANGWARE WHOLESALE,300,39.3,"11,789.23",JUNE
ITM08125,SALOREX TABS 100`S,KAWANGWARE WHOLESALE,330,6.66,"2,198.95",MAY
ITM08639,ACTION ADVANCE TABLETS 100`S,KAWANGWARE WHOLESALE,560,3.6,"2,017.82",JUNE
ITM04312,MYOFAST TABS 100s,KAWANGWARE WHOLESALE,2188,16.5,"36,102.00",JANUARY
ITM01471,CLAVULIN 457MG/5ML SUSP,MERU,1,"1,123.00","1,123.00",MAY
ITM01447,CLARIE DS 125MG/5ML 50ML,MERU,1,735,735,MARCH
ITM00431,APPEVITE SYP 200ML,MERU,1,260,260,MAY
ITM00905,BUDECORT INHALER 100MCG,MERU,1,"1,203.00","1,203.00",JULY
ITM01921,DECOMIT NASAL SPRAY,MERU,1,777,777,JUNE
ITM02829,FOLLEY CATHER 2 WAY SIZE 12FG,MERU,1,60.48,60.48,APRIL
ITM07520,SALBUTAMOL VENTOSAL 100ML,MERU,1,27.68,27.68,APRIL
ITM03176,HEMSAMIC 500MG INJ,MERU,2,190,380,FEBRUARY
ITM09293,TOBI-D EYE DROPS,MERU,2,186,372,MAY
ITM06032,TRESDERM CREAM 30G,MERU,2,97.39,194.78,APRIL
ITM04730,OPTIVE EYE DROPS 10ML,MERU,2,"1,053.00","2,106.00",JULY
ITM07770,DEMELAN CREAM 20GM,MERU,2,"1,728.00","3,456.00",MAY
ITM07988,BACTISUL 1500 INJ VIAL (CEFTRIAXONE & SULBACTAM),MERU,2,152.75,305.49,JUNE
ITM01073,CARYL EXPECTORANT 100ML,MERU,4,164.02,656.1,FEBRUARY
ITM00393,ANTACID NOVELTA 100ML,MERU,5,112.77,563.83,MARCH
ITM00805,BIOFREEZ ROLL-ON,MERU,5,405,"2,025.00",MAY
ITM05792,SYLATE INJ 125MG/2ML 10s,MERU,8,169.8,"1,358.40",JUNE
ITM02389,EPIBALIN 75MG 30`S,MERU,9.9,23.41,231.74,JUNE
ITM02472,ESOMEPRAZOLE(ESOPRIDE)20MG 30S,MERU,9.9,49.27,487.74,JUNE
ITM08032,DAPAPRIDE 10MG TABS 30`S,MERU,9.9,62.57,619.41,JUNE
ITM03393,IRON SUCROSE HEMOFER 5ML 5`S,MERU,10,492.07,"4,920.72",MAY
ITM00624,AZITHROMYCIN(AGYCIN) SUSP 15ML,MERU,12,60.9,730.8,FEBRUARY
ITM05548,SEPTRIN 100ML,MERU,14,371,"5,194.00",FEBRUARY
ITM00974,CANDID B CREAM 30G,MERU,17,386,"6,562.00",JUNE
ITM01001,CAPSIFENAC GEL 20G,MERU,17,199,"3,383.00",MAY
ITM06566,ZUPRICIN OINTMENT,MERU,18,556,"10,008.00",JULY
ITM00800,BIOCOF SYP 100ML,MERU,19,50.75,964.25,MAY
ITM01150,CEFIXIME CEF-OD DS SUSP 200MG/5ML 30ML,MERU,25,295,"7,375.00",FEBRUARY
ITM02487,ESOSE HP KIT 7S,MERU,28,527.43,"14,768.00",JUNE
ITM00854,BONNY KID SYRUP 120ML,MERU,29,199.9,"5,797.22",MARCH
ITM03398,IROVEL 300MG 30S,MERU,30,103.33,"3,100.00",MARCH
ITM04310,MYOATOM SOFTGEL CAPS 10`S,MERU,30,86.8,"2,604.00",MARCH
ITM05119,PREDNISONE 5MG BP 100S,MERU,30,2.35,70.35,JUNE
ITM05643,SOMPRAZ IT CAPS 30S,MERU,30,70,"2,100.00",FEBRUARY
ITM08068,DAPAPRIDE 5MG TABS 30`S,MERU,30,56.87,"1,706.00",JULY
ITM03419,ITRACONAZOLE CAPS 4S (ITRANOX)100MG,MERU,40,90,"3,600.00",MARCH
ITM02581,FEBO G TABS 80MG 20s,MERU,40,158.85,"6,354.00",MAY
ITM05752,SURGICAL 001,MERU,41,30.75,"1,260.93",APRIL
ITM09394,ALCOSED SYP 100ML,MERU,42,51.26,"2,152.82",FEBRUARY
ITM05295,RASEC MR TABS 10S,MERU,50,66,"3,300.00",JUNE
ITM05791,SYLATE 500MG 18S,MERU,54,80.83,"4,365.00",APRIL
ITM04177,MONTANA 10MG 14S,MERU,56,68.21,"3,820.00",MAY
ITM00502,ASOMEX D 5MG TABS 30S,MERU,60,72.8,"4,368.00",MAY
ITM03883,LYSOFLAM  30S,MERU,60,20.33,"1,219.93",APRIL
ITM07199,COEMPAKEN 5/1000MG 28`S,MERU,84,87.46,"7,347.00",JUNE
ITM00801,BIOCOF SYP 60ML,MERU,86,41.01,"3,526.52",MAY
ITM02936,GALVUSMET 50/1000MG 30S,MERU,90,120.3,"10,827.00",FEBRUARY
ITM04438,NEUROCARE D  30S,MERU,90,59.33,"5,340.00",FEBRUARY
ITM05089,POWERGESIC  MR  100S,MERU,180,23.2,"4,176.00",JUNE
ITM05865,TELMICOS 40-H TABS 30s,MERU,180,33.33,"6,000.00",JUNE
ITM07397,ENALAPRIL 5MG (CARDIPRIL) 100'S,MERU,200,0.72,143.52,MARCH
ITM04366,NEBILET 5MG 28S,MERU,224,93.07,"20,848.00",JUNE
ITM03244,HYDRINE 500MG CAPS 100s,MERU,250,43.2,"10,800.00",FEBRUARY
ITM04653,OLIGOCARE FORTE 20S,MERU,400,37.83,"15,131.21",MAY
ITM01089,CATIS FORTE TABS 30s,MERU,450,41.01,"18,452.70",MAY
ITM00675,BAROLE TABS 30S(RABEPRAZOLE),MERU,720,42,"30,240.00",JUNE
ITM00825,BISACODYL 5MG TABS GENERIC 28`S,MERU,756,0.7,525.9,FEBRUARY
ITM08639,ACTION ADVANCE TABLETS 100`S,MERU,2000,3.6,"7,206.50",JUNE
ITM03970,MEFNAC SUSP 60ML,BUSIA,2,112.77,225.53,JUNE
ITM06347,VOLINI GEL,BUSIA,2,218.23,436.45,MAY
ITM08358,VOMIKIND ORAL SOLUTION 50ML,BUSIA,3,330,990,APRIL
ITM06355,VOMIKIND 2MG/ML INJ. 4S,BUSIA,8,166.59,"1,332.70",APRIL
ITM09334,"VOMIKIND 4MG/2ML INJ. 4S	",BUSIA,8,159,"1,272.00",APRIL
ITM09432,"VOMIKIND 8MG/4ML INJ. 4`S		",BUSIA,8,234,"1,872.00",APRIL
ITM03721,LICEOMA LOTION 60ML,BUSIA,10,268,"2,680.00",APRIL
ITM06401,X TONE FORTE SYP 200ML,BUSIA,10,200,"2,000.00",JUNE
ITM07862,ORTHOLAX TABS 10'S,BUSIA,10,65,650,MARCH
ITM09233,TOBI-FM EYE DROPS 5ML,BUSIA,16,258,"4,128.00",APRIL
ITM08990,RISEK INSTA GRAN 40MG+1680MG TP 10`S,BUSIA,20,54.4,"1,088.00",MAY
ITM08991,RISEK INSTA GRAN 20+1680MG TP 10`S,BUSIA,20,38.9,778,MAY
ITM09293,TOBI-D EYE DROPS,BUSIA,27,186,"5,022.00",MAY
ITM00494,ASCORIL 200ML,BUSIA,28,416,"11,648.00",MARCH
ITM06189,URIKIND KM SATCHETS 5G 6'S,BUSIA,30,183.33,"5,500.00",JUNE
ITM06332,VITAMIN K INJ 2MG  PAED 5S,BUSIA,30,114,"3,420.00",JUNE
ITM03842,LOXIUM MR TABS 10s,BUSIA,40,75,"3,000.00",JUNE
ITM03704,LEVOFLOXACIN(UTIVANIC)500MG 10S,BUSIA,50,71.5,"3,575.00",MAY
ITM04355,NATURAL TEARS II 15ML,BUSIA,50,609.96,"30,498.21",JUNE
ITM07918,MENOZIP MF TABS 10`S,BUSIA,50,47.16,"2,357.85",JULY
ITM08595,GLITAMET 50/500 TABS 30`S,BUSIA,60,46.67,"2,800.00",MAY
ITM06032,TRESDERM CREAM 30G,BUSIA,63,97.39,"6,135.52",APRIL
ITM08803,SOLO 4MG SACHETS 14`S,BUSIA,70,49.71,"3,480.00",MAY
ITM04174,MONTAIR 10MG TABS 14S,BUSIA,70,28.21,"1,975.00",FEBRUARY
ITM05629,SOLO 5MG 14S,BUSIA,70,24.86,"1,740.00",MAY
ITM00854,BONNY KID SYRUP 120ML,BUSIA,77,199.9,"15,392.63",MARCH
ITM00801,BIOCOF SYP 60ML,BUSIA,112,41.01,"4,592.67",MAY
ITM00800,BIOCOF SYP 100ML,BUSIA,170,50.75,"8,627.50",MAY
ITM05440,SAFERON PLUS TABS 30S,BUSIA,450,29.8,"13,410.00",MAY
ITM02895,FUROSEMIDE 20MG INJ,BUSIA,700,9.23,"6,458.45",APRIL
ITM02489,ESOSE TABS 20MG 10S,SILVERGATES,1,32.3,32.3,APRIL
ITM06047,TRICAL TABS 15S,SILVERGATES,1,25.6,25.6,FEBRUARY
ITM06169,UNISTEN COMBI PACK,SILVERGATES,1,164.02,164.02,JANUARY
ITM06356,VOMISTOP 2*10,SILVERGATES,1,15.63,15.63,JULY
ITM02967,GAVISCON GEL PEPPERMINT 200ML,SILVERGATES,1,827,827,JULY
ITM06332,VITAMIN K INJ 2MG  PAED 5S,SILVERGATES,1,114,114,JUNE
ITM05848,TEARS NATURALE 15ML,SILVERGATES,1,609.96,609.96,JUNE
ITM01658,CONTUS PLUS PAED 100ML,SILVERGATES,1,300,300,MARCH
ITM06533,ZITHROMAX 500MG,SILVERGATES,1,"1,572.00","1,572.00",MARCH
ITM01471,CLAVULIN 457MG/5ML SUSP,SILVERGATES,1,"1,123.00","1,123.00",MAY
ITM01922,DEEP FREEZ SPRAY 150ML,SILVERGATES,1,847.8,847.8,MAY
ITM00340,AMOXICLAV (CLAXY) 1 2MG INJ 1S,SILVERGATES,2,139.42,278.84,APRIL
ITM00129,ADOVAS SYP 100ML HERBAL,SILVERGATES,2,248.68,497.35,FEBRUARY
ITM02391,EPICOGEL SUSP 180ML,SILVERGATES,3,316.77,950.31,JUNE
ITM03341,IMACOF EXP 100ML,SILVERGATES,3,90,270,JUNE
ITM00855,BORIC ACID EARDROP 10ML,SILVERGATES,5,71.76,358.8,FEBRUARY
ITM00942,CADISTIN SYP PLUS 100ML,SILVERGATES,6,184.53,"1,107.16",JULY
ITM08835,LAXICO FIBRE 15G SACHET 10`S (SUGAR FREE ORANGE FLAVOUR),SILVERGATES,6,92.26,553.58,MARCH
ITM04444,NEUROPICK FORTE TABS 30S,SILVERGATES,7,18.97,132.76,JULY
ITM06096,TRIPPLE PEN 3 INJ,SILVERGATES,7,30.75,215.28,JUNE
ITM00801,BIOCOF SYP 60ML,SILVERGATES,7,41.01,287.04,MAY
ITM01061,CARTIMOVE TABS  30s,SILVERGATES,8,53.33,426.67,JULY
ITM03842,LOXIUM MR TABS 10s,SILVERGATES,8,75,600,JUNE
ITM01055,CARTIL OMEGA TABS 30S,SILVERGATES,11,58.6,644.65,FEBRUARY
ITM00761,BETASERC 100S,SILVERGATES,13,46.87,609.31,FEBRUARY
ITM05440,SAFERON PLUS TABS 30S,SILVERGATES,13,29.8,387.4,JULY
ITM05273,RABEPRAZOLE (R-ZOLE)TABS 20MG 10s,SILVERGATES,13,9.74,126.61,JULY
ITM07918,MENOZIP MF TABS 10`S,SILVERGATES,14,47.16,660.2,JULY
ITM09039,PYLO-40 (H PYLORI KIT)7'S,SILVERGATES,14,314.29,"4,400.00",MARCH
ITM01434,CLAMOXIN 1GM 10S,SILVERGATES,20,10.9,218,APRIL
ITM08304,ESOGLAX-IT 30`S,SILVERGATES,20,49.55,990.98,JUNE
ITM05713,SUBSYDE CR 10`S,SILVERGATES,20,9.5,190,MAY
ITM01962,DEPREX TABS 10MG 100'S,SILVERGATES,22,24,528,FEBRUARY
ITM05643,SOMPRAZ IT CAPS 30S,SILVERGATES,27,70,"1,890.00",FEBRUARY
ITM03244,HYDRINE 500MG CAPS 100s,SILVERGATES,29,43.2,"1,252.80",JUNE
ITM08589,DERBI-10 TABS 30`S (DEXRABEPRAZOLE SODIUM10MG TABS),SILVERGATES,37,32.8,"1,213.78",FEBRUARY
ITM07438,GIRO TABLETS 100`S(ORNIDAZOLE),SILVERGATES,50,6.87,343.43,JULY
ITM02334,ENARIL 5MG 100S BEXIMCO,SILVERGATES,90,4.46,401.35,FEBRUARY
ITM00304,AMLOZEST 5MG 30S,SILVERGATES,90,20,"1,800.00",JULY
ITM08744,NEUTRAFLUX TABLETS 30`S,SILVERGATES,93,11.67,"1,085.00",APRIL
ITM00854,BONNY KID SYRUP 120ML,PHILTON,1,199.9,199.9,MARCH
ITM00747,BETADINE SOLN ANTI-SEPTIC 125ML,PHILTON,1,435.69,435.69,MAY
ITM06089,TRIOHIST 60ML EXP,PHILTON,1,76.89,76.89,FEBRUARY
ITM05353,RHINATHIOL PROMETHAZINE 125ML,PHILTON,2,640.72,"1,281.44",MAY
ITM05714,SUBSYDE GEL,PHILTON,2,287.04,574.08,FEBRUARY
ITM04012,MENTHODEX COUGH MIX 100ML,PHILTON,2,290,580,FEBRUARY
ITM03542,KLENZIT C GEL 15GM,PHILTON,3,"1,026.00","3,078.00",FEBRUARY
ITM02118,DIRACIP 100ML SYP,PHILTON,3,259.51,778.53,JUNE
ITM01658,CONTUS PLUS PAED 100ML,PHILTON,4,300,"1,200.00",MARCH
ITM03240,HYDRALAZINE INJ(APRESOLINE) 20MG 5S,PHILTON,5,686.85,"3,434.25",MAY
ITM05979,CPM TORAMIN 60ML,PHILTON,9,26.65,239.89,FEBRUARY
ITM07067,CLAMOXIN 228.5 SUSP,PHILTON,10,229,"2,290.00",MAY
ITM03425,ITRANOX CAPS 100MG 5s,PHILTON,10,80,800,MAY
ITM06579,ZYRTAL GEL 30G,PHILTON,10,461,"4,610.00",JUNE
ITM06333,VITAMIN K INJ ADULT,PHILTON,14,97.39,"1,363.45",JUNE
ITM05848,TEARS NATURALE 15ML,PHILTON,15,609.96,"9,149.46",JUNE
ITM04849,PANDERM OINT,PHILTON,16,380,"6,080.00",MARCH
ITM03807,LONART SUSP 60ML,PHILTON,17,137,"2,329.00",JUNE
ITM03543,KLENZIT GEL 15GMS,PHILTON,18,697,"12,546.00",MAY
ITM03176,HEMSAMIC 500MG INJ,PHILTON,23,190,"4,370.00",FEBRUARY
ITM06565,ZUPRICIN B OINT,PHILTON,23,681,"15,663.00",MAY
ITM06032,TRESDERM CREAM 30G,PHILTON,26,97.39,"2,532.12",APRIL
ITM03127,H PYLORI KIT(LAEKIT) 7S,PHILTON,35,314.29,"11,000.00",MARCH
ITM02887,FUNGISIL 250MG TABS 10`S (TERBINAFINE),PHILTON,40,96,"3,840.00",MAY
ITM02391,EPICOGEL SUSP 180ML,PHILTON,50,316.77,"15,838.57",JUNE
ITM06001,TRAMACETAL 10S TABS,PHILTON,50,45,"2,250.00",MARCH
ITM07865,LABNIR CAPSULES 10`S,PHILTON,50,50.23,"2,511.62",FEBRUARY
ITM09334,"VOMIKIND 4MG/2ML INJ. 4S	",PHILTON,56,159,"8,904.00",APRIL
ITM02994,GIT PLUS CAPS 10S,PHILTON,60,88.16,"5,289.77",MAY
ITM09076,ZOKIT 7'S,PHILTON,70,105,"7,350.00",FEBRUARY
ITM04778,OSTEOCARE PLUS 84s,PHILTON,84,25.6,"2,150.76",JUNE
ITM04637,OJEN OZ TABS 100S,PHILTON,100,27.5,"2,750.00",MAY
ITM07475,TULIZA EXTRA TABS 100`S,PHILTON,100,2.92,292.17,FEBRUARY
ITM00445,ARBITEL AM 30s,PHILTON,120,58.27,"6,992.00",MARCH
ITM03054,GLYCERIN SUPP 1.2GM 10S,PHILTON,120,27.17,"3,259.98",JUNE
ITM05869,TELMICOS-H 30 TABS 30s,PHILTON,120,28.19,"3,383.00",JUNE
ITM04366,NEBILET 5MG 28S,PHILTON,140,93.07,"13,030.00",JUNE
ITM05416,ROVISTA TABS 5MG 30S,PHILTON,150,32.2,"4,830.00",MAY
ITM03045,GLUCOWELL TABS 50MG 28`S,PHILTON,224,60.04,"13,448.00",MARCH
ITM05438,SAFECAL TABS 30S,PHILTON,240,24.6,"5,904.00",FEBRUARY
ITM02961,GAUZE SWABS 2*2 NON STERILE,PHILTON,300,0.92,276.79,MARCH
ITM04178,MONTANA 5MG 14S,PHILTON,305,56.93,"17,363.21",FEBRUARY
ITM05440,SAFERON PLUS TABS 30S,PHILTON,390,29.8,"11,622.00",MAY
ITM05560,SEVEN SEAS CAPS OAD 30s,PHILTON,630,21.53,"13,562.73",FEBRUARY
ITM08125,SALOREX TABS 100`S,PHILTON,11500,6.66,"76,629.96",MAY
ITM03543,KLENZIT GEL 15GMS,KISUMU,1,697,697,FEBRUARY
ITM00381,ANDOLEX-C M/WASH 200ML,KISUMU,1,"1,728.00","1,728.00",MARCH
ITM04327,MZ-CAL PLUS SUSP 200ML,KISUMU,1,440,440,JUNE
ITM07085,RABEPRAZOLE (BAROLE) 20MG INJ,KISUMU,1,480,480,JUNE
ITM05559,SEVEN SEA 100ML,KISUMU,1,317.8,317.8,FEBRUARY
ITM08868,DEEP RELIEF GEL 30MG,KISUMU,2,604.84,"1,209.68",APRIL
ITM05848,TEARS NATURALE 15ML,KISUMU,2,609.96,"1,219.93",JUNE
ITM03542,KLENZIT C GEL 15GM,KISUMU,2,"1,026.00","2,052.00",JULY
ITM00430,APPEVITE FORTE 100ML,KISUMU,2,180,360,MAY
ITM05959,TOFEN SYRUP 100ML,KISUMU,2,266.54,533.08,JUNE
ITM05714,SUBSYDE GEL,KISUMU,2,287.04,574.08,FEBRUARY
ITM08816,NOVACOL INFANT DROPS,KISUMU,3,194.78,584.34,FEBRUARY
ITM05001,PHENOBARBITONE INJ 200MG/ML AMP,KISUMU,3,220,660,APRIL
ITM09174,VITAFERON BLOOD BUILDER 200ML,KISUMU,3,142.5,427.49,MAY
ITM07446,ANTI ACNE SOAP 80G,KISUMU,4,210.16,840.62,JULY
ITM00977,CANDID EAR DROPS 15ML,KISUMU,4,172,688,JUNE
ITM09394,ALCOSED SYP 100ML,KISUMU,5,51.26,256.29,FEBRUARY
ITM06567,Z-VIT DROPS  15ML,KISUMU,6,270,"1,620.00",APRIL
ITM06345,VOLIGEL GEL 30GM,KISUMU,7,316.77,"2,217.40",MAY
ITM05548,SEPTRIN 100ML,KISUMU,8,371,"2,968.00",FEBRUARY
ITM00805,BIOFREEZ ROLL-ON,KISUMU,8,405,"3,240.00",MAY
ITM04027,METADOL INJ 2ML,KISUMU,9,41.01,369.05,MARCH
ITM05502,SCOTTS ORANGE 200ML,KISUMU,9,813.97,"7,325.72",APRIL
ITM07516,PHENOBARBITONE INJ 60MG AMP,KISUMU,9,133.27,"1,199.43",MAY
ITM05979,CPM TORAMIN 60ML,KISUMU,10,26.65,266.54,JANUARY
ITM07367,OFLOXACIN + ORNIDAZOLE (IMMOBIOTIC TABS) 10`S,KISUMU,10,9.23,92.26,MARCH
ITM06281,VIFEX SYP 100ML,KISUMU,11,219,"2,409.00",MAY
ITM00129,ADOVAS SYP 100ML HERBAL,KISUMU,12,248.68,"2,984.10",JULY
ITM03059,GLYCERINE SUPP ADULT 4G 12S,KISUMU,12,120.46,"1,445.46",FEBRUARY
ITM05828,TALGENTIS(TADALAFIL)TABS 20MG 4S,KISUMU,12,127.89,"1,534.65",MAY
ITM07557,CPM TORAMIN 100ML,KISUMU,13,30.75,399.81,MARCH
ITM04467,NEXIUM 20MG 14S,KISUMU,14,71.36,999,APRIL
ITM04765,OSMOLAX 100ML SYP,KISUMU,16,369.05,"5,904.86",JUNE
ITM05850,TEGRETOL CR 400MG 30S,KISUMU,20,47.57,951.33,JUNE
ITM08460,MEFTAN PLUS 10:5MG F/C TABS 28`S(MONTELUKAST+LEVOCETRIZINE),KISUMU,28,33.93,950,FEBRUARY
ITM03749,LIPITOR 20MG 30s,KISUMU,30,132.73,"3,982.00",MARCH
ITM00583,AVODART CAPS 0.5MG 30S,KISUMU,30,90.73,"2,722.00",FEBRUARY
ITM01868,D`ACNE 20MG CAPS 30S,KISUMU,30,120.2,"3,606.00",JULY
ITM05062,POLYGYNAX V  PESS 6S,KISUMU,30,135.33,"4,060.00",AUGUST
ITM02377,ENTEROGERMINA VIALS 5ML 10s,KISUMU,40,93.8,"3,752.05",MAY
ITM02108,DIPROFOS INJ 2M L(ORIGINAL),KISUMU,40,"1,300.00","52,000.00",MAY
ITM09957,CHLORPROMAZINE 100MG (GENERIC) TABS 100`S,KISUMU,50,1.75,87.5,JULY
ITM07863,NEXAHIST 100ML,KISUMU,54,46.13,"2,491.11",JULY
ITM05061,POLYGYNAX 12S,KISUMU,60,111.17,"6,670.00",JULY
ITM09398,SLIMSY GUMMIES 30`S,KISUMU,60,28.19,"1,691.50",MAY
ITM06047,TRICAL TABS 15S,KISUMU,75,25.6,"1,920.00",JULY
ITM04053,METOCLOPRAMIDE GEN(MELASIL) 10MG  100s,KISUMU,80,0.81,64.79,JULY
ITM02887,FUNGISIL 250MG TABS 10`S (TERBINAFINE),KISUMU,100,96,"9,600.00",MAY
ITM02581,FEBO G TABS 80MG 20s,KISUMU,100,158.85,"15,885.00",JULY
ITM07396,BENZHEXOL 5MG 100`S (HEXZA),KISUMU,100,1.22,121.99,APRIL
ITM09110,ESOMEPRAZOLE TABS 40MG (ESONEX) 28'S,KISUMU,112,32.22,"3,608.53",MARCH
ITM02920,GABICA 100MG 35S,KISUMU,140,73.26,"10,256.00",MAY
ITM02109,DIPROFOS INJ GENERIC,KISUMU,145,590.49,"85,620.53",MAY
ITM02633,FERTILION M CAPS 30s,KISUMU,150,58.97,"8,845.00",JUNE
ITM01083,CATAFLAM 50MG 100S,KISUMU,160,60.58,"9,692.80",JUNE
ITM05567,SEVEN SEAS ONE A DAY 60s,KISUMU,180,29.62,"5,331.00",MARCH
ITM06456,ZALAC SP TABS 28S,KISUMU,196,25.45,"4,987.35",MARCH
ITM04409,NEOPEPTINE CAPS 100s,KISUMU,200,35,"7,000.00",JULY
ITM04854,PANTAKIND TABS 40MG 60S,KISUMU,240,26.67,"6,400.00",JUNE
ITM00825,BISACODYL 5MG TABS GENERIC 28`S,KISUMU,308,0.7,214.26,MARCH
ITM05125,PREGABALIN (PREGAB) 150 CAPS 10S,KISUMU,350,40,"14,000.00",JULY
ITM02489,ESOSE TABS 20MG 10S,KISUMU,450,32.3,"14,535.00",APRIL
ITM02154,DOMADOL PLUS TABS 100s,KISUMU,500,15.38,"7,688.63",JULY
ITM06227,VASOPRIL 10MG TABS 100S,KISUMU,1800,5,"9,000.00",JUNE
ITM01434,CLAMOXIN 1GM 10S,KISUMU,3080,10.9,"33,572.00",APRIL
ITM04765,OSMOLAX 100ML SYP,MWIKI,1,369.05,369.05,MAY
ITM03176,HEMSAMIC 500MG INJ,MWIKI,1,190,190,FEBRUARY
